brand,postalcode,address,lat,lng,subzone_n,pln_area_n,region_n
Koufu,Singapore 239693,Cathay Cineleisure Orchard 8 Grange Road #B1-01,1.30142,103.837238,SOMERSET,ORCHARD,CENTRAL REGION
Koufu,Singapore 039596,Millenia Walk 9 Raffles Boulevard #01-46/47/48/49&50,1.291601,103.860166,MARINA CENTRE,DOWNTOWN CORE,CENTRAL REGION
Koufu,Singapore 310500,Toa Payoh HDB Centre Blk 500 Toa Payoh Lorong 6 #02-30,1.333005,103.847064,TOA PAYOH CENTRAL,TOA PAYOH,CENTRAL REGION
Koufu,Singapore 178901,"Singapore Management University 70 Stamford Road #B1-26/28, Li Ka Shing Library Building",1.296653,103.8505969,BRAS BASAH,MUSEUM,CENTRAL REGION
Koufu,Singapore 138632,Fusionopolis One 1 Fusionopolis Way #B2-02,1.299622,103.787656,ONE NORTH,QUEENSTOWN,CENTRAL REGION
Koufu,Singapore 657991,LeQuest Mall 4 Bukit Batok St 41 #01-22/28,1.3552804,103.7412887,BRICKWORKS,BUKIT BATOK,WEST REGION
Koufu,Singapore 159953,Anchor Point 370 Alexandra Road #B1-20/21,1.288541,103.805249,MEI CHIN,QUEENSTOWN,CENTRAL REGION
Koufu,Singapore 670445,Fajar Shopping Centre Blk 445 Fajar Road #01-548,1.383802,103.770558,FAJAR,BUKIT PANJANG,WEST REGION
Koufu,Singapore 640762,Gek Poh Shopping Centre Blk 762 Jurong West Street 75 #01-300,1.349156,103.698195,YUNNAN,JURONG WEST,WEST REGION
Koufu,Singapore 599489,Ngee Ann Polytechnic 535 Clementi Road Blk 51 Level 2,1.332823,103.772471,ANAK BUKIT,BUKIT TIMAH,CENTRAL REGION
Koufu,Singapore 641638,Pioneer Mall Blk 638A Jurong West St 61 #01-22,1.341943,103.697609,JURONG WEST CENTRAL,JURONG WEST,WEST REGION
Koufu,Singapore 139651,Singapore Polytechnic 500 Dover Road Canteen 4,1.309126,103.78126,SINGAPORE POLYTECHNIC,QUEENSTOWN,CENTRAL REGION
Koufu,Singapore 610399,Taman Jurong Shopping Centre Blk 399 Yung Sheng Road #01-43,1.3347739,103.721053,TAMAN JURONG,JURONG WEST,WEST REGION
Koufu,Singapore 658713,West Mall 1 Bukit Batok Central Link #04-01,1.349649,103.749107,BUKIT BATOK CENTRAL,BUKIT BATOK,WEST REGION
Koufu,Singapore 689578,Yew Tee Point 21 Choa Chu Kang North 6 #B1-17/22,1.39729,103.746546,YEW TEE,CHOA CHU KANG,WEST REGION
Koufu,Singapore 529543,Eastlink Mall 8 Tampines Central #01-18,1.354384,103.944265,TAMPINES EAST,TAMPINES,EAST REGION
Koufu,Singapore 349248,Solaris @ Kallang Way 164 164 Kallang Way #02-01 Solaris,1.324004,103.875743,KALLANG WAY,GEYLANG,CENTRAL REGION
Koufu,Singapore 415934,Enterprise One 1 Kaki Bukit Road #01-18,1.33251,103.902292,KAKI BUKIT,BEDOK,EAST REGION
Koufu,Singapore 510258,Loyang Point Blk 258 Pasir Ris St 21 #02-313,1.367095,103.964726,PASIR RIS DRIVE,PASIR RIS,EAST REGION
Koufu,Singapore 510735,Pasir Ris West Plaza Blk 735 Pasir Ris Street 72 #01-336,1.379692,103.936062,PASIR RIS WEST,PASIR RIS,EAST REGION
Koufu,Singapore 520478,478 Tampines Blk 478 Tampines St 44 #01-221,1.361342,103.95368,TAMPINES EAST,TAMPINES,EAST REGION
Koufu,Singapore 142057,Dawson Place Blk 57 Dawson Road #02-09/10,1.292802,103.810934,MARGARET DRIVE,QUEENSTOWN,CENTRAL REGION
Koufu,Singapore 160201,Kim Tian 201 Kim Tian Road #01-400,1.2805,103.827596,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION
Koufu,Singapore 141088,Tanglin Halt Blk 88 Tanglin Halt Road #01-08,1.302208,103.797717,TANGLIN HALT,QUEENSTOWN,CENTRAL REGION
Koufu,Singapore 540263,Compassvale Street Blk 263 Compassvale Street #01-09,1.39484,103.895953,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION
Koufu,Singapore 544886,Sengkang General and Community Hospital 110 Sengkang East Way #01-21,1.394566,103.893193,ANCHORVALE,SENGKANG,NORTH-EAST REGION
Koufu,Singapore 567720,ITE College Central 2 Ang Mo Kio Drive #01-14 to 29,1.3777036,103.8554865,YIO CHU KANG EAST,ANG MO KIO,NORTH-EAST REGION
Koufu,Singapore 537984,Buangkok Square 991 Buangkok Link #02-21,1.382342,103.880844,TRAFALGAR,HOUGANG,NORTH-EAST REGION
Koufu,Singapore 738964,Republic Polytechnic 31 Woodlands Avenue 9 South Food Court #01-01,1.443008,103.785698,GREENWOOD PARK,WOODLANDS,NORTH REGION
Koufu,Singapore 739065,Woodgrove 30 Woodlands Avenue 1 #01-11,1.428724,103.781141,WOODGROVE,WOODLANDS,NORTH REGION
Koufu,Singapore 569830,Nanyang Polytechnic 180 Ang Mo Kio Ave 8 Blk A Unit 235,1.378461,103.848988,YIO CHU KANG EAST,ANG MO KIO,NORTH-EAST REGION
Koufu,Singapore 820168,Punggol Plaza Blk 168 Punggol Field #01-01,1.394214,103.91291,PUNGGOL FIELD,PUNGGOL,NORTH-EAST REGION
Koufu,Singapore 540118,Rivervale Plaza Blk 118 Rivervale Drive #02-15/16,1.385427,103.901579,RIVERVALE,SENGKANG,NORTH-EAST REGION
Koufu,Singapore 750511,Sembawang Mart Blk 511 Canberra Road #01-01,1.453736,103.819382,ADMIRALTY,SEMBAWANG,NORTH REGION
Koufu,Singapore 307506,Square 2 10 Sinaran Drive #04-14 to 19 & #04-56 to 73,1.321061,103.844476,MOULMEIN,NOVENA,CENTRAL REGION
Koufu,Singapore 574408,Thomson Plaza 301 Upper Thomson Road #01-106,1.354637,103.830935,UPPER THOMSON,BISHAN,CENTRAL REGION
Koufu,Singapore 730768,Woodlands Mart Blk 768 Woodlands Ave 6 #01-30/31,1.445962,103.798159,WOODLANDS EAST,WOODLANDS,NORTH REGION
Cookhouse,Singapore 608549,JEM 50 Jurong Gateway Road #05-01,1.3330671,103.7436599,JURONG GATEWAY,JURONG EAST,WEST REGION
Cookhouse,Singapore 018935,Marina One 5 Straits View #02-04/06 Marina One The Heart,1.2774589,103.8529889,CENTRAL SUBZONE,DOWNTOWN CORE,CENTRAL REGION
Cookhouse,Singapore 828761,Waterway Point 83 Punggol Central #02-20/21,1.406502,103.902084,PUNGGOL TOWN CENTRE,PUNGGOL,NORTH-EAST REGION
Cookhouse,Singapore 518457,White Sands 1 Pasir Ris Central Street 3 #03-01/02,1.372567,103.950162,PASIR RIS CENTRAL,PASIR RIS,EAST REGION
Rasapura,Singapore 018972,"The Shoppes at Marina Bay Sands 2 Bayfront Ave #B2-49A/50-53, Canal Level",1.283949,103.858846,BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION
ForkSpoon,Singapore 310470,Toa Payoh Blk 470 Toa Payoh Lorong 6 #02-70,1.332046,103.8493419,TOA PAYOH CENTRAL,TOA PAYOH,CENTRAL REGION
ForkSpoon,Singapore 730768,Woodlands Mart Blk 768 Woodlands Ave 6 #01-32,1.445962,103.798159,WOODLANDS EAST,WOODLANDS,NORTH REGION
HappyHawkers,Singapore 560531,Ang Mo Kio Blk 531 Ang Mo Kio Ave 10 #01-2429,1.373356,103.854322,CHENG SAN,ANG MO KIO,NORTH-EAST REGION
HappyHawkers,Singapore 760747,Yishun 747 Yishun Street 72 #01-108,1.428283,103.833404,YISHUN WEST,YISHUN,NORTH REGION
HappyHawkers,Singapore 543215,215C Compassvale Drive Blk 215C Compassvale #01-06,1.3898391,103.8929155,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION
HappyHawkers,Singapore 543289,Compassvale Crescent Blk 289C Compassvale Crescent #01-01,1.39744,103.896897,SENGKANG TOWN CENTRE,SENGKANG,NORTH-EAST REGION
HappyHawkers,Singapore 540267,267 Compassvale Link Blk 267 Compassvale Link #01-02,1.38376,103.897067,COMPASSVALE,SENGKANG,NORTH-EAST REGION
HappyHawkers,Singapore 820671,Edgefield Plains Blk 671 Edgefield Plains #01-01,1.4057059,103.9120219,WATERWAY EAST,PUNGGOL,NORTH-EAST REGION
HappyHawkers,Singapore 791433,Sengkang West Blk 433A Seng Kang West Way #01-01,1.394758,103.877477,FERNVALE,SENGKANG,NORTH-EAST REGION
HappyHawkers,Singapore 751406,Sembawang Blk 406A Sembawang Drive #01-01,1.4523759,103.817468,SEMBAWANG NORTH,SEMBAWANG,NORTH REGION
HappyHawkers,Singapore 824622,Punggol Central Blk 622D Punggol Central #01-01,1.399459,103.911705,WATERWAY EAST,PUNGGOL,NORTH-EAST REGION
HappyHawkers,Singapore 760256,Yishun Ring Blk 256 Yishun Ring Road #01-1005,1.434131,103.839936,NORTHLAND,YISHUN,NORTH REGION
HappyHawkers,Singapore 164018,Jalan Membina Blk 18 Jalan Membina #01-01,1.28568,103.826718,TIONG BAHRU STATION,BUKIT MERAH,CENTRAL REGION
HappyHawkers,Singapore 460204,Bedok North Blk 204 Bedok North Street 1 #01-393,1.326535,103.929898,BEDOK NORTH,BEDOK,EAST REGION
HappyHawkers,Singapore 470739,Bedok Reservoir Blk 739 Bedok Reservoir Road #01-3193,1.337976,103.922713,BEDOK RESERVOIR,BEDOK,EAST REGION
HappyHawkers,Singapore 523872,872C Tampines Blk 872C Tampines St 86 #01-09,1.355067,103.931584,TAMPINES WEST,TAMPINES,EAST REGION
HappyHawkers,Singapore 528559,T-Space 1 Tampines North Drive 1 #01-34,1.371783,103.933943,TAMPINES NORTH,TAMPINES,EAST REGION
HappyHawkers,Singapore 522602,602B Tampines Blk 602B Tampines Avenue 9 #01-01,1.3613185,103.9377073,TAMPINES NORTH,TAMPINES,EAST REGION
HappyHawkers,Singapore 650632,Bukit Batok Central Blk 632 Bukit Batok Central #01-134,1.349353,103.750512,BUKIT BATOK CENTRAL,BUKIT BATOK,WEST REGION
HappyHawkers,Singapore 600132,Jurong East Blk 132 Jurong Gateway Road #01-271,1.334295,103.739637,JURONG GATEWAY,JURONG EAST,WEST REGION
Gourmet,Singapore 820681,Oasis Terraces 681 Punggol Drive #04-01,1.4025896,103.9128064,WATERWAY EAST,PUNGGOL,NORTH-EAST REGION
Gourmet,Singapore 310480,HDB HUB Blk 480 Lorong 6 Toa Payoh #B1-01,1.332253,103.848538,TOA PAYOH CENTRAL,TOA PAYOH,CENTRAL REGION
R&B,Singapore 049964,Far East Square 135 Amoy Street #01-02,1.2831,103.848341,CHINA SQUARE,OUTRAM,CENTRAL REGION
R&B,Singapore 178903,Singapore Management University 90 Stamford Road #01-71 School of Economics & Social Sciences,1.297598,103.84892,BRAS BASAH,MUSEUM,CENTRAL REGION
R&B,Singapore 518457,White Sands 1 Pasir Ris Central Street 3 #02-K5/K6,1.372567,103.950162,PASIR RIS CENTRAL,PASIR RIS,EAST REGION
R&B,Singapore 797653,The Seletar Mall 33 Sengkang West Avenue #03-K3,1.391352,103.876126,FERNVALE,SENGKANG,NORTH-EAST REGION
R&B,Singapore 129588,Clementi Mall 3155 Commonwealth Avenue West #04-K4,1.3150108,103.7643563,CLEMENTI CENTRAL,CLEMENTI,WEST REGION
R&B,Singapore 574408,Thomson Plaza 301 Upper Thomson Road #01-106,1.354637,103.830935,UPPER THOMSON,BISHAN,CENTRAL REGION
R&B,Singapore 237994,Great World 1 Kim Seng Promenade #B1-K104,1.293984,103.832088,ROBERTSON QUAY,SINGAPORE RIVER,CENTRAL REGION
R&B,Singapore 528833,Eastpoint Mall 3 Simei Street 6 #01-04,1.342806,103.952974,SIMEI,TAMPINES,EAST REGION
R&B,Singapore 048622,Change Alley Mall 30 Raffles Place #B1-32,1.284255,103.85173,RAFFLES PLACE,DOWNTOWN CORE,CENTRAL REGION
R&B,Singapore 657991,Le Quest Mall 4 Bukit Batok Street 41 #01-47,1.3557502,103.7412367,BRICKWORKS,BUKIT BATOK,WEST REGION
R&B,Singapore 138632,Fusionopolis 1 Fusionopolis Way #B2-02 Connexis (South),1.299622,103.787656,ONE NORTH,QUEENSTOWN,CENTRAL REGION
R&B,Singapore 139651,Singapore Polytechnic Singapore Polytechnic Foodcourt 4 AeroHub (AE106),1.309126,103.78126,SINGAPORE POLYTECHNIC,QUEENSTOWN,CENTRAL REGION
R&B,Singapore 689578,YewTee Point 21 Choa Chu Kang North #01-49,1.39729,103.746546,YEW TEE,CHOA CHU KANG,WEST REGION
R&B,Singapore 079027,100AM (Amara) 100 Tras Street #01-07,1.274929,103.843549,ANSON,DOWNTOWN CORE,CENTRAL REGION
R&B,Singapore 821669,Oasis Terraces 681 Punggol Drive #B1-03,1.4040655,103.913674,WATERWAY EAST,PUNGGOL,NORTH-EAST REGION
R&B,Singapore 408600,SingPost Centre 10 Eunos Road 8 #01-133,1.319291,103.894819,GEYLANG EAST,GEYLANG,CENTRAL REGION
R&B,Singapore 436950,Kinex 11 Tanjong Katong Road #B1-30,1.315093,103.894519,GEYLANG EAST,GEYLANG,CENTRAL REGION
R&B,Singapore 449269,Parkway Parade 80 Marine Parade Road #03-30A,1.301072,103.905281,MARINE PARADE,MARINE PARADE,CENTRAL REGION
R&B,Singapore 529538,Tampines MRT Tampines MRT #01-18,1.353448,103.945119,TAMPINES EAST,TAMPINES,EAST REGION
R&B,Singapore 307591,United Square 101 Thomson Road #02-K1,1.317711,103.843491,MOULMEIN,NOVENA,CENTRAL REGION
R&B,Singapore 530991,Buangkok Square 991 Buangkok Link #01-27,1.3843301,103.8820829,TRAFALGAR,HOUGANG,NORTH-EAST REGION
R&B,Singapore 238877,Wisma Atria 435 Orchard Road #B1-02,1.30351,103.833056,BOULEVARD,ORCHARD,CENTRAL REGION
R&B,Singapore 540118,Rivervale Plaza Blk 118 Rivervale Drive #01-K16,1.385427,103.901579,RIVERVALE,SENGKANG,NORTH-EAST REGION
R&B,Singapore 608549,JEM 50 Jurong Gateway Road #B1-15,1.3330671,103.7436599,JURONG GATEWAY,JURONG EAST,WEST REGION
R&B,Singapore 098585,VivoCity 1 Harbourfront Walk #B2-23 (in FairPrice Xtra),1.264613,103.823012,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION
R&B,Singapore 310470,Toa Payoh Hub 470 Toa Payoh Lorong 6 Level 1 Kiosk,1.332046,103.8493419,TOA PAYOH CENTRAL,TOA PAYOH,CENTRAL REGION
R&B,Singapore 018956,The Shoppes @ Marina Bay Sands 10 Bayfront Avenue #B2-50 (in Rasapura Masters),1.282275,103.858322,BAYFRONT SUBZONE,DOWNTOWN CORE,CENTRAL REGION
R&B,Singapore 099253,HarbourFront Centre 1 Maritime Square #01-K9,1.264553,103.819304,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION
1983NY,Singapore 567720,"AMK ITE 2 Ang Mo Kio Drive #02-10, Blk F",1.3777036,103.8554865,YIO CHU KANG EAST,ANG MO KIO,NORTH-EAST REGION
1983NY,Singapore 738964,Republic Polytechnic 9 Woodlands Avenue 9 South Food Court Level 2,1.443008,103.785698,GREENWOOD PARK,WOODLANDS,NORTH REGION
Supertea,Singapore 039596,Millenia Walk 9 Raffles Boulevard #01-75,1.291601,103.860166,MARINA CENTRE,DOWNTOWN CORE,CENTRAL REGION
1983CT,Singapore 629117,Benoi (FairPrice Hub) 1 Joo Koon Circle #02-32/33,1.325605,103.6784349,JOO KOON,PIONEER,WEST REGION
1983CT,Singapore 529889,Changi General Hospital 2 Simei Street 3 #01-09,1.340711,103.949352,SIMEI,TAMPINES,EAST REGION
Elemen,Singapore 099253,"Harbourfront Centre 1 Maritime Square, #02-85",1.264553,103.819304,MARITIME SQUARE,BUKIT MERAH,CENTRAL REGION
Elemen,Singapore 409057,Paya Lebar Quarter 10 Paya Lebar Road #03-13,1.3173684,103.8926378,GEYLANG EAST,GEYLANG,CENTRAL REGION
Elemen,Singapore 039596,Millenia Walk 9 Raffles Boulevard #01-75A/76 Millenia Walk,1.291601,103.860166,MARINA CENTRE,DOWNTOWN CORE,CENTRAL REGION
Elemen,Singapore 237994,"Elemen Classic @ Great World City 1 Kim Seng Promenade, #01-122 Singapore 237994",1.293984,103.832088,ROBERTSON QUAY,SINGAPORE RIVER,CENTRAL REGION
Grove,Singapore 408600,SingPost Centre 10 Eunos Road 8 #01-151,1.319291,103.894819,GEYLANG EAST,GEYLANG,CENTRAL REGION
Grove,Singapore 178901,Singapore Management University 70 Stamford Road #01-21 Li Ka Shing Library,1.296653,103.8505969,BRAS BASAH,MUSEUM,CENTRAL REGION
Grove,Singapore 750133,Canberra Plaza 133 Canberra View #01-19,1.443256,103.830463,SEMBAWANG EAST,SEMBAWANG,NORTH REGION
